protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class
22.5,65.2,13.7,9.9,26.7,479.0,medium
15.9,20.7,16.8,7.6,15.0,316.0,low
28.3,62.4,14.5,10.8,15.3,524.0,medium
23.3,18.6,7.9,17.0,0.2,250.0,low
30.8,55.1,31.9,12.5,7.2,602.0,medium
35.5,72.8,19.6,6.7,11.9,634.0,medium
16.1,45.1,9.8,12.5,21.0,374.0,low
38.1,23.1,17.1,0.0,5.6,379.0,low
31.6,43.3,17.4,5.3,17.4,418.0,medium
21.4,76.1,18.1,2.0,23.0,566.0,medium
46.5,58.6,21.1,1.2,11.8,609.0,medium
15.2,50.9,22.7,2.4,16.4,507.0,medium
36.7,41.4,21.6,5.3,0.0,495.0,medium
17.9,62.6,22.8,10.3,15.6,543.0,medium
33.2,61.6,18.0,3.8,17.4,528.0,medium
15.7,30.0,27.0,2.5,5.1,436.0,medium
7.5,30.9,15.0,4.9,20.3,287.0,low
24.2,45.1,23.0,11.3,2.2,471.0,medium
27.6,13.8,21.5,15.2,31.0,355.0,low
23.2,54.2,18.7,10.7,19.4,494.0,medium
16.7,59.5,17.0,13.6,17.7,471.0,medium
3.7,71.2,16.6,3.7,39.4,433.0,medium
41.3,50.3,0.0,6.4,31.0,341.0,low
20.1,56.5,27.6,9.9,13.8,553.0,medium
24.6,79.9,17.2,12.7,21.3,589.0,medium
22.5,30.0,15.2,9.9,18.8,352.0,low
33.9,63.6,26.9,6.0,12.3,615.0,medium
25.2,68.5,24.2,10.3,12.2,615.0,medium
23.6,57.7,20.3,13.1,21.7,525.0,medium
27.4,25.5,20.2,3.5,14.5,367.0,low
21.5,52.2,27.8,9.6,9.3,554.0,medium
12.0,68.0,23.4,10.9,33.9,558.0,medium
9.4,24.4,15.6,10.7,15.8,234.0,low
23.0,43.5,9.0,1.7,28.6,378.0,low
16.0,46.2,17.4,16.1,19.6,445.0,medium
18.8,8.6,12.4,7.6,16.4,179.0,low
19.8,43.8,24.3,5.6,12.2,464.0,medium
24.7,37.3,15.7,6.5,32.6,395.0,low
21.6,104.2,13.8,14.3,8.6,624.0,medium
29.8,31.2,19.3,7.2,30.4,431.0,medium
16.3,67.1,16.5,3.5,10.4,455.0,medium
6.2,91.5,24.9,7.1,9.0,654.0,medium
29.1,104.4,1.3,0.2,4.7,570.0,medium
37.2,30.0,10.6,14.4,22.9,345.0,low
33.8,42.3,13.8,8.4,17.0,469.0,medium
29.9,54.7,11.6,1.9,18.4,447.0,medium
28.7,23.0,26.2,6.8,1.2,444.0,medium
25.5,26.8,30.9,8.3,8.0,498.0,medium
24.5,72.3,20.1,1.6,13.2,515.0,medium
21.8,62.1,21.7,5.5,13.9,546.0,medium
38.6,43.9,30.5,10.1,21.4,565.0,medium
21.3,106.5,12.6,0.2,28.6,643.0,medium
